bid_no,bop_occurymdhms,brt_id,bop_x,bop_y,bop_angle,bop_speed,bop_distance,bop_dvstat,bop_violationinfo,bop_statinfo,bop_remaindistance,bnode_fromid,bnode_toid,bop_half_x,bop_half_y,bop_fle,bop_sendymdhms,bop_rcvymdhms
101,20151120064844,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120064844,20151120064840
101,20151120065015,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120065015,20151120065010
101,20151120065144,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120065144,20151120065140
101,20151120065315,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120065315,20151120065310
101,20151120065445,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120065445,20151120065440
101,20151120065615,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120065615,20151120065610
101,20151120065745,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120065745,20151120065740
101,20151120065916,196104132,222360,225893.02,114,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222360,225893.02,0,20151120065916,20151120065911
101,20151120070138,196104131,223173.72,226783.46,40,23,913,0000000000000000,00000000,00000000,16977,193030714,1930002000,223173.72,226783.46,0,20151120070138,20151120070134
101,20151120070337,196104131,223546.14,227315.88,31,0,2784,0000000000000000,00000000,00000000,16834,193030712,1930002600,223546.14,227315.88,0,20151120070337,20151120070332
101,20151120070549,196104131,223725.67,227774.69,210,0,3655,0000000000000000,00000000,00000000,15963,1930002601,193030706,223725.67,227774.69,0,20151120070549,20151120070544
101,20151120070845,196104131,223913.08,227885.25,190,31,4063,0000000000000000,00000000,00000000,15555,1930003300,193022401,223913.08,227885.25,0,20151120070845,20151120070840
101,20151120071920,196104131,228499.03,226405.92,55,0,9860,0000000000000000,00000000,00000000,9758,1930024600,1930027300,228499.03,226405.92,0,20151120071921,20151120071916
101,20151120072754,196104131,226735.35,228423.18,300,18,13468,0000000000000000,00000000,00000000,6150,192021208,1920005300,226735.35,228423.18,0,20151120072755,20151120072750
101,20151120073142,196104131,225088.79,228767.4,304,0,15218,0000000000000000,00000000,00000000,4400,192021202,1920000300,225088.79,228767.4,0,20151120073142,20151120073137
101,20151120073454,196104131,224213.89,229597.26,12,0,16359,0000000000000000,00000000,00000000,3259,1920001000,192021110,224213.89,229597.26,0,20151120073454,20151120073449
101,20151120073826,196104131,224092.34,231967.1,31,19,18214,0000000000000000,00000000,00000000,1404,192021102,192021334,224092.34,231967.1,0,20151120073826,20151120073822
101,20151120074138,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120074138,20151120074134
101,20151120074410,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120074417,20151120074411
101,20151120074540,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120074540,20151120074535
101,20151120074709,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120074709,20151120074705
101,20151120074840,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120074840,20151120074835
101,20151120075009,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075009,20151120075005
101,20151120075140,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075140,20151120075135
101,20151120075309,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075309,20151120075305
101,20151120075440,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075440,20151120075435
101,20151120075609,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075609,20151120075605
101,20151120075740,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075740,20151120075735
101,20151120075909,196104131,224477.55,232498.26,296,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224477.55,232498.26,1,20151120075909,20151120075905
101,20151120080039,196104131,224078.19,231935.99,202,57,19455,0000000000000000,00000000,00000000,163,196030504,196030504,224078.19,231935.99,0,20151120080039,20151120080035
101,20151120080210,196104132,224151.33,230581.79,184,64,19465,0000000000000000,00000000,00000000,163,192021103,192021105,224151.33,230581.79,0,20151120080210,20151120080205
101,20151120080807,196104132,224999.86,228797.66,204,0,4517,0000000000000000,00000000,00000000,15111,192021115,1920000300,224999.86,228797.66,0,20151120080807,20151120080802
101,20151120082015,196104132,228118.18,227667.69,168,0,8306,0000000000000000,00000000,00000000,11322,193031101,1930058100,228118.18,227667.69,0,20151120082015,20151120082011
101,20151120082257,196104132,228230.21,227306.11,193,0,9021,0000000000000000,00000000,00000000,10607,193031105,1930049600,228230.21,227306.11,0,20151120082257,20151120082253
101,20151120082814,196104132,227994.44,226194.2,267,0,10313,0000000000000000,00000000,00000000,9315,193040404,1930002304,227994.44,226194.2,0,20151120082814,20151120082809
101,20151120083349,196104132,225758.35,226614.04,288,0,12704,0000000000000000,00000000,00000000,6924,193040603,1930033700,225758.35,226614.04,0,20151120083349,20151120083344
101,20151120083857,196104132,223951.76,227900.66,355,17,15096,0000000000000000,00000000,00000000,4532,193022402,1930003300,223951.76,227900.66,0,20151120083857,20151120083852
101,20151120084422,196104132,223245.64,226923,343,0,17084,0000000000000000,00000000,00000000,2544,193030711,1930002000,223245.64,226923,0,20151120084422,20151120084416
101,20151120084623,196104132,222591.36,226187.62,211,55,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222591.36,226187.62,0,20151120084623,20151120084618
101,20151120084724,196104132,222342.83,225830.63,147,5,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222342.83,225830.63,0,20151120084724,20151120084718
101,20151120084912,196104132,222344.47,225827.86,163,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222344.47,225827.86,1,20151120084913,20151120084907
101,20151120085041,196104132,222344.47,225827.86,163,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222344.47,225827.86,1,20151120085041,20151120085037
101,20151120085342,196104132,222344.47,225827.86,163,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222344.47,225827.86,1,20151120085343,20151120085337
101,20151120085512,196104132,222308.37,225936.94,8,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222308.37,225936.94,1,20151120085513,20151120085507
101,20151120085642,196104132,222308.37,225936.94,8,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222308.37,225936.94,1,20151120085642,20151120085637
101,20151120090101,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120090101,20151120090056
101,20151120090231,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120090231,20151120090225
