STOP_ID,STOP_NAME,STOP_TYPE,STOP_CENTER,STOP_ADMIN,STOP_REMARK,STOP_SHORTNAME,STOP_OLDID,STOP_SERVICEID,STOP_X,STOP_Y,STOP_ANGLE,STOP_IN_DISTANCE,STOP_OUT_DISTANCE,LINK_ID,STOP_LINK_X,STOP_LINK_Y,STOP_LINK_SEQNO,STOP_LINK_LENGTH,STOP_REVISIONNO,DR_CODE,STOP_INFO,STOP_ENAME,STOP_LINE_NUM
193040608,울주군청앞,1,0,울산광역시,무거삼거리 방면,울주군청앞,0,40608,226603.217,226465.5897,280,70,30,1930086600,226600.64,226452.8,1,65.6,916,3114060000,0,Uljugun Office,5
193040609,옥동디아채,1,0,울산광역시,공업탑 방면,옥동디아채,,40609,226564.2373,226441.6916,101,70,30,1930086500,226567.159,226447.2942,1,81.2,959,0,2,okdong diache,2
193040610,옥동초등학교,1,0,울산광역시,무거삼거리 방면,옥동초등학교,0,40610,226954.4161,226392.5453,280,70,30,1930078400,226952.66,226383.48,1,96.1,916,3114052000,0,Okdong Elem. School,17
193040611,서여자중학교앞,1,0,울산광역시,공업탑R 방면,서여자중학교앞,0,40611,227246.2625,226301.1774,100,70,30,1930074600,227248.7,226313.66,1,209.8,916,3114052000,0,Seo Girls M. S.,18
193040613,신정고등학교앞,1,0,울산광역시,공업탑R 방면,신정고등학교앞,0,40613,227497.9109,226256.0585,100,70,30,1930064300,227499.35,226263.14,1,209.7,916,3114052000,0,Sinjeong H. S.,18
193040614,신정고등학교앞,1,0,울산광역시,무거삼거리 방면,신정고등학교앞,0,40614,227421.4909,226300.4572,280,70,30,1930064400,227419.68,226291.48,2,320.8,916,3114052000,0,Sinjeong H. S.,15
193040616,공업탑 시외정류소,1,0,울산광역시,무거삼거리 방면,공업탑 시외정류소,0,40616,227630.12,226262.0197,280,70,30,1930064400,227627.92,226250.41,1,109.7,916,3114052000,0,Industry Tower Intercity Station,3
193040617,문수경기장앞,1,0,울산광역시,공업탑R 방면,문수경기장앞,0,40617,223506.5709,226754.6665,249,70,30,1930106900,223502.67,226766.7,1,112.2,916,3114059000,0,Hoban Plaza,7
193040618,문수경기장앞,1,0,울산광역시,무거삼거리 방면,문수경기장앞,0,40618,223590.1265,226826.0205,257,70,30,1930107000,223595.27,226810.13,1,190.9,916,3114059000,0,Hoban Plaza,5
193040620,보건환경연구원,1,0,울산광역시,무거삼거리 방면,보건환경연구원,0,40620,224563.2862,226876.4804,270,70,30,1930112200,224563.29,226873.47,1,416.8,916,3114060000,0,Research Institute of Public Health  Environment,3
193040749,수필아파트,8,0,울산광역시,옥현중학교 방면,수필아파트,0,76401,222726.6297,228000.4522,210,70,30,1930228700,222728.5401,227999.0787,2,283.6,934,3171025900,0,Suphil Apt.,18
193040754,구법원,8,0,울산광역시,,구법원,0,74202,226111.7066,226666.0286,357,70,30,1930218200,226103.2255,226665.0429,1,125.2,962,3114060000,0,in the old days court,4
193040852,홈플러스앞,7,0,울산광역시,,홈플러스앞,0,40852,223782.202,228170.8217,126,70,30,1930197902,223786.239,228175.1351,1,141.7,920,3171025900,0,Homeplus,6
193040879,도성아파트후문,8,0,울산광역시,,도성아파트후문,0,63801,226843.0399,227111.2765,100,70,30,1930125702,226842.5668,227115.6033,2,150.6,916,3114058000,0,Doseong Apt. Back Gate,15
193040931,롯데인베스가,8,0,울산광역시,,롯데인베스가,0,75501,226961.2404,226032.81,20,70,30,1930226300,226959.4453,226032.9548,1,103.7,916,3114060000,0,Lotte Invens,15
193040959,뉴코아아울렛,8,0,울산광역시,,뉴코아아울렛,0,63701,230052.0662,226981.643,80,70,30,1930120101,230050.1681,226984.1704,1,26.2,927,3114057000,0,Outlet,12
193040964,포스코아파트,8,0,울산광역시,옥동중학교 방면,포스코아파트,,59465,227781.6991,227540.8784,16,70,30,1930164001,227777.02,227543.043,1,264.9,916,0,2,,16
193063301,남구문화원앞,8,0,울산광역시,,남구문화원앞,0,63301,229649.0981,227726.5195,260,70,30,1930178702,229651.1875,227721.8914,1,107.3,916,3114057000,0,Namgu Center,2
193063302,남구문화원앞,8,0,울산광역시,,남구문화원앞,0,63302,229652.1118,227712.2095,70,70,30,1930178802,229650.0574,227715.824,2,145.2,916,3114057000,0,Namgu Center,2
193063304,남울산우체국,8,0,울산광역시,,남울산우체국,0,63304,229780.5565,227775.4733,260,70,30,1930183600,229782.7119,227769.8364,1,245.4,916,3114057000,0,Nam-Ulsan Post Office,5
193063306,벽산아파트앞,8,0,울산광역시,,벽산아파트앞,0,63306,230911.1258,227750.0414,280,70,30,1930182400,230910.5282,227744.9917,2,130.7,916,3114057000,0,Byeoksan Apt.,17
