MYBI_STOPID,MYBI_NAME,STOP_ID,STOP_X,STOP_Y,STOP_X2,STOP_Y2
3101363,삼성홈플러스앞,192031704,230532.13426,229665.00029,129.3367833,35.5635
3101364,학성공원,192024706,230636.07434,228877.59136,129.3379,35.5564
3101365,한국건강관리협회앞,192021408,230072.26649,228923.75473,129.3316833,35.55683333
3101366,구역전시장앞,192021406,229720.3619,228868.95028,129.3278,35.55635
3101367,옥교동,192021403,229312.65407,228778.84112,129.3233,35.55555
3101369,우정지하도앞,192021603,228142.48658,228471.80872,129.3103833,35.55281667
3101370,수암시장앞,193031206,228965.63098,225815.2837,129.3193667,35.52885
3101371,동부아파트입구,193031208,229323.00168,225624.13191,129.3233,35.52711667
3101372,대현초등학교앞,193031210,229551.35643,225597.14557,129.3258167,35.52686667
3101373,야음시장앞,193031212,230097.99347,225321.58835,129.3318333,35.52436667
3101374,울산번개시장앞,193031214,230455.73859,225036.17241,129.3357667,35.52178333
3101375,변전소,193023502,230945.61305,224581.10175,129.34115,35.51766667
3101376,울산번개시장앞,193031213,230427.0688,225019.43203,129.33545,35.52163333
3101377,야음시장앞,193031211,230079.90273,225306.73314,129.3316333,35.52423333
3101378,동부아파트입구,193031207,229389.65737,225579.9699,129.3240333,35.52671667
3101379,수암시장앞,193031205,229086.88262,225715.82045,129.3207,35.52795
3101380,삼성홈플러스앞,192031703,230494.32176,229677.81597,129.3363667,35.56361667
3101381,삼성아파트앞,192040509,230623.57114,229879.82189,129.3378,35.56543333
3101382,평산초등학교앞,192040507,230953.60119,230130.60389,129.34145,35.56768333
3101383,선우시장,192011205,231083.14254,230243.85647,129.3428833,35.5687
3101384,동여중앞,192011203,230844.10128,230337.3376,129.34025,35.56955
3101385,구동중학교,192011201,230706.43592222,230848.08075971,129.33868939,35.57417325
3101386,삼익세라믹앞,192030905,230984.27326,231304.96449,129.3418333,35.57826667
3101387,서동시장,192030901,231448.57715,231589.51909,129.3469667,35.58081667
3101388,북구청남문,195026341,232767.35405,231599.81099,129.3615167,35.58086667
3101389,화봉동입구,195014702,233164.55561,231627.16687,129.3659,35.5811
3101390,연암,195019007,233460.9224,231554.30364,129.3691667,35.58043333
3101392,정수장,194024203,237123.31445,225980.4221,129.4093167,35.53006667
3101394,옥교동,192011908,229415.32823,228803.2187,129.3244333,35.55576667
3101395,성남프라자앞,192021409,228814.47273,228625.58496,129.3178,35.55418333
3101396,태화로타리,193022502,227884.76939,227766.4537,129.3075167,35.54646667
3101397,신정1동주민센터,193022504,227770.03134,227239.07365,129.3062333,35.54171667
3101398,산업은행앞,193022506,227735.22699,226765.56969,129.3058333,35.53745
3101399,공업탑,193022508,227869.70853,226294.44189,129.3073,35.5332
3101400,고속버스터미널앞,193031716,230824.30802,226877.39419,129.3399,35.53836667
3101401,공업탑,193022507,227827.1579,226366.42814,129.3068333,35.53385
3101402,산업은행앞,193022505,227692.72307,226826.46154,129.3053667,35.538
3101403,신정1동주민센터,193022503,227760.79075,227294.521,129.3061333,35.54221667
3101404,태화로타리,193022501,227851.62168,227733.06466,129.30715,35.54616667
3101405,정수장,194024204,237106.65773,225985.90062,129.4091333,35.53011667
3101407,울산과학대학앞,193030711,223311.98161,227028.47012,129.2570667,35.53993333
3101408,울산대학교앞,193030707,223536.3026,227361.91295,129.25955,35.54293333
3101409,신복로타리,193030703,223836.72615,228054.30929,129.2628833,35.54916667
3101410,옥현주공아파트앞,193022402,223980.0659,227577.60002,129.26445,35.54486667
3101411,성광여고앞,193022404,224037.03711,227187.5724,129.2650667,35.54135
3101412,공원묘지입구,193040602,225251.74327,226813.68543,129.27845,35.53795
3101413,옥동중학교앞,193040603,225897.7626,226599.17759,129.2855667,35.536
3101414,법원앞,193040606,226210.84116,226531.66934,129.2890167,35.53538333
3101415,울주군청앞,193040608,226611.59164,226462.5841,129.2934333,35.53475
3101416,옥동초등학교앞,193040610,226956.42814,226393.34801,129.2972333,35.53411667
3101417,신정고등학교앞,193040614,227429.81605,226304.17672,129.30245,35.5333
3101418,공업탑,193040402,,,,
3101419,목화예식장앞,193040416,,,,
3101420,현대백화점앞,193040418,,,,
3101421,시외고속버스터미널,193040420,,,,
3101422,농수산물도매시장앞,193040422,231006.53532,227068.49206,129.3419167,35.54008333
3101423,현대자동차명촌정문앞,195040339,232661.17229,228825.5913,129.3602333,35.55586667
3101424,효문사거리,195040337,232749.76473,229391.77618,129.3612333,35.56096667
